Year,Depreciation %,Deduction
1,20%,"$52,000"
2,32%,"$83,200"
3,19.2%,"$49,920"
4,11.52%,"$29,952"
5,11.52%,"$29,952"
6,5.76%,"$14,976"
Total,100%,"$260,000"
